0,1,4,0,8,0,1,2,1,0,2,1,3,1,270000.0
1,1,5,1,6,0,2,5,1,1,5,2,5,1,200000.0
2,1,3,1,5,1,3,3,2,0,4,2,3,1,250000.0
3,1,2,1,3,1,2,2,1,0,3,1,3,0,0.0
4,1,5,1,6,1,1,5,2,0,6,2,2,1,425000.0
5,1,2,0,2,0,2,4,1,1,2,2,2,0,0.0
6,2,2,0,2,0,1,5,2,0,4,2,2,0,0.0
7,1,5,1,4,1,2,4,1,1,3,2,4,1,252000.0
8,1,4,1,6,1,1,5,2,0,6,2,3,1,231000.0
9,1,2,1,5,1,1,3,2,0,2,2,2,0,0.0
10,1,2,1,4,1,1,2,2,1,3,1,3,1,260000.0
11,1,4,1,5,1,1,5,2,1,3,2,4,1,250000.0
12,2,2,1,3,0,2,3,2,0,3,1,4,0,0.0
13,2,5,1,7,1,1,2,2,0,3,2,5,1,218000.0
14,1,3,1,2,1,1,2,2,0,4,1,2,0,0.0
15,2,3,1,6,1,1,4,2,1,4,2,4,1,200000.0
16,1,3,1,5,1,1,3,2,1,3,2,4,1,300000.0
17,2,2,1,5,1,1,3,2,0,3,2,5,0,0.0
18,2,3,1,5,1,1,3,2,0,3,1,4,0,0.0
19,1,3,0,5,0,3,4,2,1,2,2,6,1,236000.0
20,1,3,0,5,0,1,4,2,0,2,1,2,1,265000.0
21,2,5,0,6,0,1,6,2,0,6,2,5,1,393000.0
22,2,4,0,4,0,2,5,1,0,2,1,5,1,360000.0
23,2,5,0,4,0,2,3,1,1,6,2,4,1,300000.0
24,1,5,0,8,0,2,5,1,0,6,2,5,1,360000.0
25,2,2,0,3,1,1,2,2,1,4,2,4,0,0.0
26,1,4,0,6,0,1,4,2,1,6,2,3,1,240000.0
27,1,3,0,5,0,1,4,2,0,3,1,3,1,265000.0
28,1,5,0,6,0,1,4,2,1,4,2,4,1,350000.0
29,1,3,1,5,1,1,2,2,0,4,2,2,0,0.0
30,2,3,1,6,1,1,5,2,0,2,1,2,1,250000.0
31,2,4,1,3,1,2,3,1,0,3,1,3,0,0.0
32,2,3,1,6,1,1,4,2,0,2,1,4,1,278000.0
33,2,5,0,5,0,2,6,2,1,5,2,5,1,260000.0
34,1,3,0,3,0,2,2,3,0,3,1,4,0,0.0
35,2,4,1,6,1,1,5,2,0,4,1,4,1,300000.0
36,1,2,1,2,1,1,2,2,0,3,2,2,0,0.0
37,2,5,1,6,1,2,3,1,0,2,1,2,1,320000.0
38,2,4,0,3,0,2,4,2,0,2,1,2,1,240000.0
